English,Definition (English),Definition(Hausa),Hausa,Region
Cervix,The narrow passage forming the lower end of the uterus.,,,Reproductive system
Placenta,,,Mahaifa,"Abdominal cavity, Reproductive system"
Umbilical cord,,,Igiyar cibi/ igiyar cibiya,Abdominal cavity
Cartilage,,,,Multiple locations
Tendon,,,Kitse,Multiple locations
Ligament,,,Jijiya,Multiple locations
Muscle,,,Tsoka,Multiple locations
Artery,,,Jijiyar tafiya da jini,Multiple locations
Vein,,,Jijiyar dawo da jini,Multiple locations
Capillary,,,ƙaramin Bututun Jini,Multiple locations
Nerve,,,Jijiya,Multiple locations
Joint,,,Gaɓoɓi,Multiple locations
Limbs,,,,"Upper body, Lower body"
Fat,,,Kitse,Multiple locations
Tube,,,Bututu,Descriptive Terms
Spinal cord,,,Jijiyar ƙashin Baya,Back
Appendix,"A small, finger-like pouch attached to the large intestine",Wani bututu dake ƙarshen babban hanji,,Abdominal cavity
Peritoneum,"A continuous, thin, smooth membrane that lines the abdominal and pelvic cavities and covers the organs within them",Wani nama da yake saman kayan ciki da ƙashin kwankwaso,,Abdominal cavity
Urinary System,,,Mataciyar Fitsari,Systems
Skeletal System,,,Kwanrangwal Din Jiki,Systems
Nervous Sytem,,,Tsari na Kawkwalwa da Jijiyoyin Ta,Systems
Cardiovascular System,,,Tsari na Zuciya da Jini,Systems
Respitory System,,,Tsari na Numfashi,Systems
Digestive System,,,Tsari na Sarrafa Abinci,Systems
Reproductive System,,,Tsari na Halittun Haihuwa,Systems
Endocrine System,,,Tsari na Endocrine,Systems
Integumentary System," The body's outer covering, primarily composed of skin, hair, nails, and associated glands",,"Tsari na su fata, farce, da gashi",Systems
Lymphatic System,,,Tsari na Kariya,Systems
Cells,,,ƙwayoyin halitta,"Multiple Locations, Descriptive Terms"
Cancer,,,"Ciwon kansa, ciwon daji",Disease
"Chemical, Substance, Nutrient",,,Sinadari,Descriptive Terms
Protein,,,Furotin,Tissue Componenets
Sleep,,,Barci,Condition
